FIRE_ID,LATITUDE,LONGITUDE,IGN_DATE,SIZE_HA,OBJECTID
841,50.7953,-120.1526,20170708000000,0.009,303
945,50.8741,-120.2188,20170709000000,0.100,304
1032,51.5695,-120.2097,20170712000000,15.500,305
1034,50.4765,-120.5705,20170712000000,0.100,306
1073,50.7848,-120.5327,20170713000000,0.009,307
1119,50.7656,-120.5263,20170715000000,0.009,308
1134,51.1158,-120.1408,20170716000000,0.009,309
1200,50.5969,-119.6950,20170719000000,0.009,310
1209,50.5797,-120.2061,20170720000000,0.009,311
1214,50.8552,-121.1497,20170720000000,0.100,312
1217,50.6576,-120.5728,20170720000000,0.009,313
1230,51.1947,-119.5015,20170720000000,0.009,314
1236,50.9600,-119.6997,20170720000000,0.009,315
1269,50.7515,-119.7575,20170722000000,0.009,316
1278,51.3792,-120.4882,20170720000000,0.009,317
1297,50.7529,-121.1478,20170723000000,0.700,318
1300,50.7791,-121.3111,20170723000000,0.009,319
1303,50.9170,-120.8158,20170723000000,0.200,320
1335,51.4473,-120.2847,20170720000000,0.009,321
1343,50.6622,-121.3046,20170725000000,0.009,322
1360,50.8763,-120.0013,20170726000000,1.770,323
1375,50.5440,-119.8504,20170726000000,150.000,324
1432,50.6809,-120.2643,20170729000000,0.100,325
1438,50.4827,-121.3040,20170729000000,0.009,326
270,50.6628,-119.0592,20170606000000,0.009,327
420,50.9365,-119.1022,20170626000000,1.100,328
146,54.1874,-125.4880,20170523000000,0.090,67
196,54.2762,-126.2235,20170530000000,2.500,68
292,54.0519,-125.7182,20170608000000,0.100,69
442,54.0611,-125.3210,20170628000000,5.000,70
615,53.9520,-125.4269,20170705000000,2.500,71
659,53.8686,-125.7735,20170707000000,7.500,72
730,53.6474,-125.0955,20170707000000,0.500,73
781,53.6770,-125.1091,20170707000000,0.009,74
1190,53.8162,-125.8613,20170719000000,0.200,75
1196,53.3878,-125.6074,20170719000000,0.009,76
151,54.4873,-126.4904,20170524000000,0.200,77
211,54.2354,-126.9527,20170530000000,0.070,78
356,54.0342,-126.7233,20170623000000,58.000,79
908,55.2457,-126.1482,20170709000000,0.200,80
937,55.0816,-125.8424,20170709000000,122.000,81
206,54.8059,-127.2469,20170530000000,0.009,82
213,54.8035,-127.2442,20170530000000,0.009,83
219,54.7585,-127.2305,20170530000000,0.009,84
756,54.7658,-126.9697,20170707000000,0.010,85
24,55.5009,-127.7669,20170416000000,16.000,86
25,55.2862,-128.0777,20170417000000,0.600,87
26,55.4225,-127.7088,20170417000000,0.100,88
27,55.3875,-127.6784,20170417000000,21.000,89
30,55.5366,-127.8604,20170418000000,2.200,90
44,55.4160,-127.6527,20170422000000,7.800,91
46,55.2389,-128.0482,20170423000000,8.100,92
47,55.2515,-127.6624,20170423000000,12.000,93
910,56.4965,-129.4604,20170708000000,0.009,94
67,57.6244,-130.0701,20170501000000,0.500,95
109,57.8503,-129.9867,20170515000000,0.009,96
172,57.9241,-131.1093,20170528000000,0.009,97
223,59.3066,-129.2836,20170531000000,0.500,98
980,57.8947,-131.1053,20170710000000,0.009,99
90,53.3012,-122.6894,20170506000000,0.009,100
94,53.3511,-122.6203,20170507000000,23.000,101
120,54.0211,-122.4976,20170521000000,0.009,102
143,54.3062,-122.6243,20170523000000,0.009,103
156,54.0379,-123.2060,20170525000000,0.009,104
218,54.2805,-121.9960,20170530000000,0.009,105
274,53.7762,-123.2972,20170607000000,0.009,106
275,54.2887,-122.5103,20170607000000,0.200,107
277,54.1429,-123.3596,20170607000000,71.000,108
291,54.3943,-121.7265,20170608000000,22.000,109
318,54.0663,-122.4158,20170615000000,0.009,110
358,53.9839,-123.2199,20170623000000,3.000,111
393,53.8187,-121.3586,20170625000000,0.400,112
456,53.9889,-122.8772,20170629000000,0.200,113
486,53.8062,-121.3352,20170701000000,0.009,114
540,53.8688,-123.0919,20170702000000,0.009,115
625,53.4780,-123.0387,20170706000000,40.000,116
673,53.8674,-122.6905,20170707000000,0.009,117
674,53.7278,-121.1567,20170707000000,0.002,118
684,53.9414,-122.9376,20170707000000,0.009,119
687,53.4228,-122.3000,20170707000000,25.000,120
715,53.9558,-122.9057,20170707000000,0.009,121
751,53.8324,-121.4390,20170707000000,1.000,122
758,53.6898,-123.0613,20170707000000,0.009,123
763,53.7198,-123.0563,20170707000000,0.009,124
770,53.6606,-123.1363,20170707000000,4.000,125
776,53.2873,-121.7847,20170707000000,0.500,126
777,53.2447,-122.5258,20170707000000,2.000,127
809,53.9917,-122.8632,20170708000000,0.009,128
810,53.9583,-122.8618,20170708000000,0.009,129
811,54.0401,-122.8841,20170708000000,8.020,130
813,53.5257,-123.2545,20170708000000,0.000,131
819,54.3935,-122.9143,20170708000000,94.000,132
829,53.4238,-123.6680,20170708000000,15.000,133
847,53.7895,-123.0554,20170708000000,10.000,134
864,54.8598,-123.2283,20170708000000,55.000,135
866,53.9945,-122.8824,20170708000000,0.009,136
874,54.4162,-123.0926,20170708000000,1.000,137
877,54.5985,-123.1596,20170708000000,0.330,138
878,54.7072,-123.0900,20170708000000,0.200,139
879,54.8063,-123.3448,20170708000000,12.000,140
881,54.6479,-123.1450,20170708000000,1.100,141
903,54.3225,-122.8296,20170708000000,0.004,142
1016,54.0871,-122.7871,20170711000000,0.002,143
1061,53.4000,-123.1833,20170713000000,0.300,144
1065,54.3304,-121.8531,20170713000000,0.090,145
1079,54.2728,-121.7548,20170714000000,0.009,146
1088,53.8000,-122.3167,20170714000000,0.800,147
1105,53.8805,-122.9904,20170715000000,0.009,148
1108,53.4535,-123.1885,20170715000000,11.000,149
1109,53.9955,-122.8742,20170715000000,0.009,150
1112,54.6390,-123.1448,20170715000000,0.009,151
1188,54.6708,-123.5626,20170719000000,0.700,152
1294,53.7123,-121.1433,20170723000000,0.009,153
1330,53.9299,-123.1766,20170724000000,0.500,154
1378,54.3565,-122.3441,20170727000000,0.009,155
1379,54.3365,-122.3504,20170727000000,0.009,156
1410,53.7889,-122.3067,20170728000000,0.009,157
1446,53.8573,-122.3338,20170730000000,0.100,158
1447,53.4298,-123.3277,20170730000000,0.080,159
8,53.3286,-120.2126,20170405000000,1.000,160
140,52.9759,-119.3403,20170523000000,574.000,161
164,53.0511,-119.5976,20170526000000,0.009,162
221,53.2292,-120.0220,20170530000000,0.009,163
255,53.0260,-119.2626,20170605000000,0.009,164
260,52.9226,-119.3815,20170605000000,0.009,165
401,53.0966,-119.8138,20170626000000,0.200,166
411,53.2467,-120.1612,20170626000000,0.009,167
646,53.5019,-120.6111,20170707000000,0.009,168
854,53.5675,-120.2317,20170708000000,0.009,169
855,53.5582,-120.2740,20170708000000,0.009,170
859,53.5409,-120.3700,20170708000000,0.009,171
890,52.0351,-119.3423,20170708000000,0.670,172
1096,53.4259,-120.3276,20170714000000,0.500,173
1097,52.3137,-118.3705,20170714000000,2100.000,174
1115,53.0147,-119.0777,20170715000000,0.009,175
1128,52.7850,-119.1743,20170716000000,0.009,176
1152,52.4343,-119.2505,20170717000000,0.100,177
49,54.2843,-124.2657,20170424000000,0.800,178
63,53.9441,-123.8795,20170428000000,0.009,179
155,54.0513,-124.7451,20170525000000,0.500,180
444,54.0783,-124.9947,20170628000000,0.009,181
654,53.4337,-124.4355,20170707000000,0.009,182
664,53.2634,-124.7088,20170707000000,1271.000,183
677,54.0260,-124.6100,20170707000000,0.040,184
679,53.2716,-124.7146,20170707000000,2.000,185
688,54.1569,-124.4214,20170707000000,3.400,186
